"assetType","slNo","customer","partName","partNo","revision","manufactureNo","manufactureYear","category","pressTonnage","mechNo","toolingLife","speed","model","cavityNo","incomingDate","location","size","weightKg","materialModel","thickness","materialWidthStep","ppepNo","blankingGap","designer","platingSupplier","productionFlowChart","firstSubmissionDate","designChangeDate","status","productPosition"
"Tooling","25","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","OUTER","TM-771A-1","","21-TER004","2024","Progressive Tooling","300T","7#","","30","Progressive Tooling / （1 Cav.）","NO","","","","","SPCD","1.2","165*164","","Unilateral / 0.08mm","LANK","","Stamping---Selecting---Packaging---Finished Product","2021.8.10","","Use","THAI"
"Tooling","26","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","ORIFICE PLATE","TH-496A-2","","21-TER005","2024","Progressive Tooling","110T/150T","5#/6#","","30","Progressive Tooling / （1 Cav.）","NO","","","","","SPCC-SD","1.0","87*84","","Unilateral / 0.15mm","LANK","","Stamping---Packaging---Finished Product","2021.8.10","","Use","THAI"
"Tooling","27","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","OUTER","TM-791A-1","","21-TER006","2024","Progressive Tooling","500T","8#","","20","Progressive Tooling / （2 Cav.）","NO","","F1/Stamping","","3081","SPHC-P/O","1.4","228*114","","Unilateral / 1.12mm","LJL","","Stamping---Packaging---Finished Product","2021.8.30","","Use","THAI"
"Tooling","28","SumiRiko Eastern Rubber (Thailand) Ltd. (ESIE Plant)","PLATE","TM-795A-1","","21-TER007","2024","Progressive Tooling","300T","7#","","20","Progressive Tooling / （2 Cav.）","DOT&NO DOT","","","","","SPCC-SD","1.0","146*64","","Unilateral / 0.08mm","Liu JiaWei","","Stamping---Packaging---Finished Product","2021.9.15","","Use","THAI"
"Tooling","29","STL","Armature High Amp","48187063#4","03","D21.TL.65","2024","Progressive Tooling","80T","1#","","70","Progressive Tooling / （2 Cav.）","1&2","","F1/A2-3","","215","SPCC-4D","1.0","64*22","REG4-AAAQBO","Unilateral / 0.04mm","Shen Xiaozhi","","Stamping---Plating---Packaging---Finished Product","2021.9.21","","Use","THAI"
"Tooling","30","STL","CLAMP PLATE","48187311#4","01","D21.TL.57","2024","Progressive Tooling","110T","5#","","80","Progressive Tooling / （3 Cav.）","One Dot &Two Dot & Without Dot","","F1/A2-9","","260","SPCC-4D","2.0","74*22","REG4-AAAPSK","Unilateral / 0.14mm","Hu Yongjian","","Stamping---Plating---Packaging---Finished Product","2021.9.21","","Use","THAI"
"Tooling","31","STL","CRADLE","48187058","05","D21.TL.43","2024","Progressive Tooling","110T","4#","","80","Progressive Tooling / （1 Cav.）","DOT","","F1/A3-3","","330","SPFC590","1.2","70*28","REG4-AAAQCY","Unilateral / 0.20mm","Hu Yongjian","","Stamping---Plating---Packaging---Finished Product","2021.9.22","","Use","THAI"
"Tooling","32","STL","Medium Arc Platel","48187097AA","00","D21.TL.61","2024","Progressive Tooling","80T","1#","","90","Progressive Tooling / （3 Cav.）","1&2&3","","","","","SPCC-4D","1.2","59*22.5","REG4-AAAQBP","Unilateral / 0.07mm","Zhaoxing","","Stamping---Plating---Packaging---Finished Product","2021.9.29","","Use","THAI"
"Tooling","33","STL","Arc Stack Top","48187104#4","00","D21.TL.62","2024","Progressive Tooling","80T","1#","","90","Progressive Tooling / （4 Cav.）","1&2&3&4","","F1/A3-5","","210","SPCC-4","1.2","78*13","REG4-AAAQBQ","Unilateral / 0.08mm","Hu Yongjian","","Stamping---Plating---Packaging---Finished Product","2021.9.29","","Use","THAI"
"Tooling","34","STL","Arc plate GV2","W113893530111","08","D21.TL.76","2024","Progressive Tooling","80T","1#","","80","Progressive Tooling / （8 Cav.）","1&2&3&4&5&6&7&8","","","","","SPCC-4D","0.8","88*25","REG4-AAAQUZ","Unilateral / 0.04mm","Shen Xiaozhi","","Stamping---Plating---Packaging---Finished Product","2021.9.29","","Use","THAI"
