"no","partNumber","toolNumber","dwNumber","nameEn","specifications","material","quantityInStock","picture","minInventory","maxInventory"
"45","SB-068B-1","23-TER012","116","Bending 1 die","85x168x230","Cr12MoV","1","spare-part-images/045-SB-068B-1-116.png","2","2"
"46","SB-068B-1","23-TER012","113","Die","70x60x114","45#","1","spare-part-images/046-SB-068B-1-113.png","1","2"
"47","SB-068B-1","23-TER012","118","Die","70x60x114","45#","1","spare-part-images/047-SB-068B-1-118.png","1","2"
"48","SB-068B-1","23-TER012","230","Bending Punch","130x91x168","Cr12MoV","1","spare-part-images/048-SB-068B-1-230.png","2","2"
"49","SB-068B-1","23-TER012","231","Bending Punch","130x91x168","Cr12MoV","1","spare-part-images/049-SB-068B-1-231.png","1","2"
"50","SB-068B-1","23-TER012","228","Pierce Punch","94x102x171","Cr12MoV","1","spare-part-images/050-SB-068B-1-228.png","1","2"
"51","SB-068B-1","23-TER012","229","Pierce Punch","94x102x171","Cr12MoV","1","spare-part-images/051-SB-068B-1-229.png","1","2"
"52","SB-068B-1","23-TER012","206","Pilot","Ø15x63.60","Cr12MoV","1","spare-part-images/052-SB-068B-1-206.png","1","2"
"53","SB-068B-1","23-TER012","209","Pilot","Ø15x46.20","Cr12MoV","1","spare-part-images/053-SB-068B-1-209.png","2","2"
"54","SB-068B-1","23-TER012","208","Punch Holder","30x50x60","45#","1","spare-part-images/054-SB-068B-1-208.png","2","2"
"55","SB-068B-1","23-TER012","220","Pierce Punch","80x61.40x63.40","Cr12MoV","1","spare-part-images/055-SB-068B-1-220.png","1","2"
"56","1160088","Q25.JS.071","20","Punching punch","14.60x60.48x72.00","Cr12MoV","1","spare-part-images/056-1160088-20.png","1","2"
"57","1160088","Q25.JS.071","21","Punching punch","29.01x62.05x70.00","Cr12MoV","1","spare-part-images/057-1160088-21.png","1","2"
"58","1160088","Q25.JS.071","22","Punching punch","15.60x61.50x72.00","Cr12MoV","1","spare-part-images/058-1160088-22.png","1","2"
"59","1160088","Q25.JS.071","23","Punching punch","16.60x61.50x70.00","Cr12MoV","1","spare-part-images/059-1160088-23.png","1","2"
"60","1160088","Q25.JS.071","24","Punching punch","10.30x8.20x73.00","Cr12MoV","8","spare-part-images/060-1160088-24.png","1","2"
"61","1160088","Q25.JS.071","25","Punching punch","22.00x8.20x73.00","Cr12MoV","2","spare-part-images/061-1160088-25.png","1","2"
"62","1160088","Q25.JS.071","26","Punching punch","21.00x43.10x70.00","Cr12MoV","1","spare-part-images/062-1160088-26.png","1","2"
"63","1160088","Q25.JS.071","27","Punching punch","43.10x19.00x70.00","Cr12MoV","1","spare-part-images/063-1160088-27.png","1","2"
"64","1160088","Q25.JS.071","28","Punching punch","65.00x21.26x77.00","Cr12MoV","1","spare-part-images/064-1160088-28.png","1","2"
"65","1160088","Q25.JS.071","29","Punching punch","65.00x20.26x75.00","Cr12MoV","1","spare-part-images/065-1160088-29.png","1","2"
"66","1160088","Q25.JS.071","30","Punching punch","24.80x25.76x75.00","Cr12MoV","1","spare-part-images/066-1160088-30.png","1","2"
"67","1160088","Q25.JS.071","31","Punching punch","24.80x24.76x75.00","Cr12MoV","1","spare-part-images/067-1160088-31.png","1","2"
"68","1160088","Q25.JS.071","32","Upper block","Ø12.00x104.20","Cr12MoV","1","spare-part-images/068-1160088-32.png","1","2"
"69","1160088","Q25.JS.071","33","Lower mold insert","36.00x19.00x30.00","Cr12MoV","2","spare-part-images/069-1160088-33.png","1","2"
"70","1160088","Q25.JS.071","34","Lower mold insert","62.00x17.00x30.00","Cr12MoV","1","spare-part-images/070-1160088-34.png","1","2"
"71","1160088","Q25.JS.071","35","Lower mold insert","62.00x15.50x30.00","Cr12MoV","1","spare-part-images/071-1160088-35.png","1","2"
"72","1160088","Q25.JS.071","36","Lower mold insert","93.50x22.00x30.00","Cr12MoV","1","spare-part-images/072-1160088-36.png","1","2"
"73","1160088","Q25.JS.071","37","Lower mold insert","16.00x5.00x30.00","Cr12MoV","1","spare-part-images/073-1160088-37.png","1","2"
"74","1160088","Q25.JS.071","38","Lower mold insert","92.00x42.00x30.00","Cr12MoV","1","spare-part-images/074-1160088-38.png","1","2"
"75","1160088","Q25.JS.071","39","Lower mold insert","90.00x34.00x30.00","Cr12MoV","1","spare-part-images/075-1160088-39.png","1","2"
"76","1160088","Q25.JS.071","40","Lower mold insert","91.00x26.00x30.00","Cr12MoV","1","spare-part-images/076-1160088-40.png","1","2"
"77","1160088","Q25.JS.071","41","Lower mold insert","33.00x20.88x30.00","Cr12MoV","1","spare-part-images/077-1160088-41.png","1","2"
"78","1160088","Q25.JS.071","42","Lower mold insert","33.00x20.88x30.00","Cr12MoV","1","spare-part-images/078-1160088-42.png","1","2"
"79","1160088","Q25.JS.071","43","Lower mold insert","35.50x38.00x30.00","Cr12MoV","1","spare-part-images/079-1160088-43.png","1","2"
"80","1160088","Q25.JS.071","44","Lower mold insert","35.50x39.00x30.00","Cr12MoV","1","spare-part-images/080-1160088-44.png","1","2"
"81","1160088","Q25.JS.071","45","Lower mold insert","33.00x21.50x30.00","Cr12MoV","1","spare-part-images/081-1160088-45.png","1","2"
"82","1160088","Q25.JS.071","46","Lower mold insert","33.00x21.50x30.00","Cr12MoV","1","spare-part-images/082-1160088-46.png","1","2"
"83","1160088","Q25.JS.071","47","Lower mold insert","36.00x44.00x30.00","Cr12MoV","1","spare-part-images/083-1160088-47.png","1","2"
